[18, 8] [2, 3, 2, 3, 2, 3] 30.0 1.2968
[7, 6] [3, 1, 2, 0, 3, 1] 10.0 1.9
[13, 16] [2, 0, 3, 1, 0, 1] 42.0 1.21949
[25, 14] [0, 0, 2, 1, 2, 0] 10.0 1.9
[19, 13] [2, 0, 3, 0, 1, 0] 10.0 1.9
[12, 19] [0, 1, 2, 0, 1, 0] 10.0 1.9
[17, 19] [2, 0, 1, 0, 1, 0] 10.0 1.9
[9, 1] [3, 1, 3, 0, 0, 1] 10.0 1.9
[9, 13] [0, 1, 2, 0, 1, 0] 10.0 1.9
[22, 19] [0, 2, 0, 0, 1, 0] 10.0 1.9
[11, 11] [3, 0, 2, 3, 2, 3] 10.0 1.9
[13, 8] [2, 3, 2, 3, 2, 3] 52.0 1.1907
[23, 23] [0, 2, 2, 3, 2, 3] 10.0 1.9
[10, 3] [3, 3, 2, 3, 2, 3] 10.0 1.9
[20, 2] [0, 0, 1, 0, 1, 0] 10.0 1.9
[21, 12] [2, 0, 3, 2, 3, 2] 10.0 1.9
[12, 13] [0, 1, 0, 1, 0, 1] 51.0 1.21547
[15, 25] [0, 1, 0, 1, 0, 1] 10.0 1.9
[17, 11] [2, 0, 3, 1, 0, 1] 47.0 1.1959
[1, 5] [3, 1, 0, 1, 0, 1] 10.0 1.9
[7, 19] [1, 0, 1, 0, 1, 0] 27.0 1.19066
[7, 0] [0, 3, 3, 2, 3, 2] 10.0 1.9
[19, 9] [3, 2, 0, 3, 2, 3] 10.0 1.9
[3, 3] [1, 3, 3, 2, 3, 2] 10.0 1.9
[1, 5] [1, 1, 3, 0, 0, 1] 10.0 1.9
[17, 3] [3, 2, 3, 2, 3, 2] 32.0 1.26418
[2, 3] [1, 3, 0, 3, 2, 3] 10.0 1.9
[7, 21] [2, 1, 0, 1, 0, 1] 10.0 1.9
[23, 18] [0, 2, 2, 0, 3, 0] 10.0 1.9
[4, 19] [1, 1, 0, 1, 0, 1] 10.0 1.9
[14, 4] [0, 1, 3, 2, 3, 2] 42.0 1.17961
[16, 11] [3, 2, 2, 0, 3, 0] 10.0 1.9
[10, 17] [1, 0, 2, 3, 2, 3] 45.0 1.20563
[26, 14] [0, 0, 2, 0, 3, 2] 10.0 1.9
[25, 26] [2, 0, 0, 1, 0, 1] 10.0 1.9
[12, 14] [2, 0, 3, 2, 3, 2] 10.0 1.9
[15, 25] [0, 1, 0, 1, 0, 1] 10.0 1.9
[5, 26] [1, 2, 0, 1, 0, 1] 10.0 1.9
[2, 20] [2, 1, 0, 1, 0, 1] 10.0 1.9
[14, 15] [2, 0, 2, 1, 3, 0] 10.0 1.9
[16, 16] [0, 2, 3, 2, 3, 2] 10.0 1.9
[3, 23] [1, 1, 2, 0, 0, 1] 10.0 1.9
